comuna.id,comuna.codigo,comuna.nombre,comuna.municipio_id,comuna.uuid
249,01,CAUNGULA,74,f3da8243-3fae-469b-b8ea-0301a08b608f
250,02,CAMAXILO,74,a2f6a3a6-e54b-47da-a5f7-01e176defd62
251,01,CUANGO,75,8373f38a-c761-47b9-bd3f-341eb6e5a08d
252,02,LUREMO,75,32062340-bd15-4e3f-a978-7a4c864d347d
253,01,LUBALO,76,cedd8bf3-4ae3-4ec2-973d-078075e89075
254,02,MUVULEGUE,76,88725a96-1032-4941-b341-7dff1d732a4e
255,03,LUANGUE,76,a37a3e7e-4121-4255-837e-47d6d671de0c
256,01,CAPENDA-CAMULEMBA,77,bb3b849a-297d-4492-9cd3-a0d6d1fb79b9
257,02,XINGE,77,17b9abd0-f4f3-4bb7-a1ae-cf75e1db84f5
258,01,XÁ-MUTEBA,78,557cde18-10e7-44d2-81d9-0eefea5ada0c
259,02,LONGO,78,9723709b-03a5-4f00-b7de-75811b3723b9
260,03,CASSANGE-CALUCALA,78,9c049607-2c05-4a60-a962-618776cd253e
261,01,BENGUELA,79,db00a9e3-4827-4686-9814-b173e22e97f9
262,01,BAÍA FARTA,80,e9b8bc7e-b901-4691-8609-c16779225c15
263,02,DOMBE GRANDE,80,bcda2a1e-705f-4f19-8c1a-e7471f4d8716
264,03,CALANHANGA,80,6af06924-3b4a-4064-97ef-98ac76e6c8bb
265,04,EQUIMANA,80,fd587e2d-1d1e-4f27-b867-9c4bca8cf66f
266,01,LOBITO,81,41cf637f-c07e-4d63-92c9-dce994052479
267,03,CANJALA,81,daef3e3c-1bf1-4e8f-b34a-6d10b08bf073
268,05,EGIPTO PRAIA,81,c12646b5-0cdd-42f1-8558-0f387d64b561
269,01,CATUMBELA,82,c601b1f7-6c36-4375-b016-d727100c21dc
270,02,GAMA,82,656583d5-321e-47a5-9304-9bec151f5a22
271,03,BIOPIO,82,f443b793-9122-434c-a759-2306d8783b52
272,04,PRAIA BEBÉ,82,f3ff026c-1cbd-47d3-9bae-74afe6b46300
273,01,CUBAL,83,d08eece9-a95f-4449-8ff9-df0cbf830cfd
274,02,LAMBALA,83,3671a455-234d-4d5f-ba89-b68cb203009f
275,04,CAPUPA,83,4498154d-b08c-412c-9fd3-0b09602c04e0
276,05,TUMBULO(LOMAUM),83,20bc2e5f-8b74-41c6-b986-440e73b6ddbc
277,01,GANDA,84,f6574764-1371-42a5-825c-dac46231df7a
278,02,BABAERA,84,596f0919-8d45-429e-9e6a-39ec5582a0b3
279,03,CHICUMA,84,803bdb69-76e8-4bec-8bcc-bd751a794c5c
280,04,EBANGA,84,b6b3960b-6886-4e02-ba57-99e06959b080
281,05,CASSEQUE,84,a71a9174-1abf-4670-b22a-ef7870fc0293
282,01,BALOMBO,85,acfc928c-3ac8-4feb-82cb-347158e0e182
283,02,CHINGONGO,85,29dc1195-bafb-4275-8a72-0bb2f51decfd
284,03,CHINDUMBO,85,2a0fbc81-5329-49ab-9d72-f2fd7f1dcf6d
285,04,MAKA-MOMBOLO,85,01713fde-a0fd-4312-813e-056346bbf5b0
286,01,BOCOIO,86,e8c420dc-3da2-4a64-887b-2f382e883bf5
287,02,CHILA,86,894d6763-c415-4913-86f9-2905498b6757
288,03,MONTE BELO,86,3445eb23-9bf3-4859-9e3e-1d38f6e71da4
289,04,PASSE,86,ba50d1e6-3d80-4941-93c3-1ebc4ba928ad
290,06,CUBAL DO LUMBO,86,87924756-733e-40f0-8369-406b5667d8ac
291,01,CAIMBAMBO,87,cc1cc854-69e8-4ccf-bbb9-d2c2e10f9b5f
292,02,CATENGUE,87,3b175358-54ed-4e14-99f4-f2e7de5147e8
293,03,CANHAMEL,87,1901fcbc-67a5-4c4b-9b53-7a4f3dcdef10
294,04,CAYAVI,87,b329ab44-3200-4054-94be-a7093f484890
295,05,WYANGOMBE,87,43ba1187-d20b-4213-a42d-72569278dc6c
296,01,CHONGOROI,88,e1dbeaf1-ce92-48ae-96d7-f9e04303d506
297,02,BOLONGUERA,88,8deaa36f-b13f-4b87-9a8a-60040b957686
298,03,KAMUINE,88,bfb3cecf-f021-463d-9488-c9f9c30b6828
299,01,HUAMBO,89,9d86d955-1a30-4059-8db5-122c4e6cc34b
300,02,CALIMA,89,663d306a-656f-471f-9ae6-97a9070c9a56
301,03,TCHIPIPA,89,618ebcbb-4dc2-42b2-ac43-4c10ddc8aef3
302,01,TCHIPIPA-TCHOLOHANGA,90,f6ecd66d-bfdc-4ce1-9b40-4bb7826f8205
303,02,MBAVE,90,c19dca1f-3693-4010-9ad9-018371e3c750
304,03,SAMBO,90,747a2fda-6be4-47bb-af04-437ffbc264ec
305,04,HUNGULO,90,f0a42ee2-75b1-4a78-a3ba-f86534c3f33a
306,01,KATCHIUNGO,91,4b60f08f-e20f-43c0-a737-b02f21b49583
307,02,TCHIUMBO,91,215b79c9-ff33-4141-834c-d832b57e27f8
308,03,TCHINHAMA,91,13af6b22-ae64-4d1e-9f7e-7fed1dae1a1e
309,01,BAILUMBO,92,056ce5e6-006f-4e65-b2a6-7b5520c48106
310,02,M BIMBI (EX BIMBE),92,75232fd0-1668-45b3-8174-2d734982eb8e
311,03,LUNGE,92,4caa8ea9-bffb-4a8c-84dd-38dffb9fc68a
312,04,LUVEMBA,92,8617d103-e834-4dd7-ba29-2378131c4ab6
313,05,HEMGUE (KULULO),92,2beaa86f-d157-4575-b09f-9ea58530e330
314,01,CAÁLA,93,bb57df4b-d414-4ff6-9787-a6bd34f4795e
315,02,CUIMA,93,5ab0d40f-862b-4ef9-8061-536fb4123c6e
316,03,CATATA,93,68c21366-e102-4224-9103-8331f98c5c53
317,04,CALENGA,93,e7cbd616-6e9e-48fc-b63d-e647bb8c5246
318,01,ECUNHA,94,cad5156a-3da7-4c0e-b141-af34eaa979d1
319,02,CHIPEIO,94,7789e691-7df4-48df-8816-9e71c0c52166
320,01,UKUMA,95,4c9d8976-d65d-43dd-a11b-62265a191407
321,02,CACOMA,95,dc8a0903-5836-42a2-8543-f6c36891e5f3
322,03,MUNDUNDO(ELEVA),95,152e3229-4332-4c25-9517-2d3e51f29b8b
323,01,LONGONJO,96,35793071-1ae4-4342-97f8-5c6af69fb2f2
324,02,LÉPI,96,a5f58711-14c4-4917-8350-8dbbb961bb6f
325,04,CATAVOLA,96,2e1e94b0-c092-4823-be06-3be44cbaba8e
326,05,CHILATA (NGOMBE-YÁ-LAMBA),96,80e821a3-92fa-4efc-8a69-22add637c4db
327,01,MUNGO,97,a30dea8a-49d7-4582-8089-49e7aef3261b
328,02,CAMBUENGO,97,318e6f54-2010-47dd-9f86-2761e0305554
